,city,trips_in_first_30_days,avg_rating_of_driver,avg_surge,phone,surge_pct,ultimate_black_user,weekday_pct,avg_dist,avg_rating_by_driver,active
0,King's Landing,4,4.7,1.1,iPhone,15.4,True,46.2,3.67,5.0,1.0
1,Astapor,0,5.0,1.0,Android,0.0,False,50.0,8.26,5.0,0.0
2,Astapor,3,4.3,1.0,iPhone,0.0,False,100.0,0.77,5.0,0.0
3,King's Landing,9,4.6,1.14,iPhone,20.0,True,80.0,2.36,4.9,1.0
4,Winterfell,14,4.4,1.19,Android,11.8,False,82.4,3.13,4.9,0.0
5,Winterfell,2,3.5,1.0,iPhone,0.0,True,100.0,10.56,5.0,1.0
7,Winterfell,2,5.0,1.0,iPhone,0.0,False,100.0,2.04,5.0,0.0
8,Winterfell,2,4.5,1.0,Android,0.0,False,100.0,4.36,5.0,0.0
10,Winterfell,1,5.0,1.0,iPhone,0.0,True,100.0,4.28,4.9,0.0
11,Winterfell,3,4.0,1.0,iPhone,0.0,False,100.0,3.81,5.0,0.0
13,King's Landing,0,4.0,1.3800000000000001,iPhone,50.0,False,50.0,3.04,5.0,1.0
16,King's Landing,1,5.0,1.0,Android,0.0,True,50.0,10.86,3.0,1.0
17,King's Landing,0,3.9,1.0,iPhone,0.0,True,95.2,2.38,4.8,1.0
18,King's Landing,6,4.6,1.21,iPhone,30.8,True,80.8,6.83,4.8,1.0
19,King's Landing,0,5.0,1.17,iPhone,33.3,False,66.7,12.08,5.0,1.0
23,King's Landing,0,5.0,1.0,Android,0.0,True,100.0,7.74,5.0,1.0
24,Astapor,4,4.5,1.02,iPhone,9.1,False,36.4,2.1,4.7,0.0
26,Astapor,1,4.0,1.0,Android,0.0,False,100.0,1.66,5.0,0.0
27,Winterfell,3,5.0,1.05,iPhone,20.0,False,100.0,3.05,5.0,0.0
29,Astapor,1,4.0,1.0,Android,0.0,False,100.0,11.25,5.0,0.0
30,Astapor,4,5.0,1.0,iPhone,0.0,True,25.0,6.12,4.8,0.0
31,Winterfell,1,4.9,1.0,iPhone,0.0,False,40.0,11.86,5.0,1.0
32,Winterfell,1,4.0,2.0,iPhone,100.0,False,100.0,10.01,5.0,1.0
35,King's Landing,2,5.0,1.0,Android,0.0,False,100.0,14.16,5.0,0.0
37,Astapor,0,4.0,1.0,iPhone,0.0,False,50.0,1.3800000000000001,5.0,0.0
38,King's Landing,24,4.9,1.04,iPhone,5.8,True,61.6,4.69,4.8,1.0
40,Winterfell,2,4.0,1.0,iPhone,0.0,False,50.0,0.8300000000000001,5.0,0.0
41,Winterfell,0,4.0,1.8800000000000001,iPhone,50.0,False,0.0,3.8,5.0,0.0
42,Winterfell,1,4.0,1.5,Android,100.0,False,0.0,5.72,5.0,0.0
43,Winterfell,1,4.5,1.0,iPhone,0.0,False,50.0,16.52,5.0,0.0
44,King's Landing,2,5.0,1.0,iPhone,0.0,True,66.7,1.4,5.0,1.0
45,Astapor,3,4.0,1.0,Android,0.0,False,50.0,3.0,4.2,0.0
46,Astapor,6,5.0,1.33,iPhone,33.3,False,100.0,2.93,5.0,0.0
47,Winterfell,1,5.0,1.25,iPhone,100.0,False,0.0,3.61,5.0,0.0
48,Winterfell,4,4.8,1.0,iPhone,0.0,False,100.0,1.75,4.8,0.0
49,Winterfell,2,4.4,1.0,iPhone,0.0,False,71.4,10.54,4.7,1.0
50,Winterfell,0,5.0,1.25,Android,100.0,False,0.0,3.25,5.0,0.0
51,Winterfell,4,4.5,1.0,Android,0.0,False,52.4,3.24,5.0,0.0
52,Winterfell,0,5.0,1.0,iPhone,0.0,False,80.0,4.98,5.0,1.0
53,Astapor,6,4.4,1.56,iPhone,22.2,True,22.2,3.15,4.8,0.0
54,Winterfell,2,3.5,1.5,iPhone,50.0,False,50.0,4.94,5.0,1.0
55,Winterfell,1,4.0,1.0,iPhone,0.0,False,100.0,36.01,5.0,0.0
56,Astapor,1,2.5,1.0,Android,0.0,False,100.0,23.49,5.0,0.0
57,Astapor,0,4.3,1.0,Android,0.0,False,66.7,10.21,5.0,0.0
58,Astapor,0,5.0,1.0,iPhone,0.0,False,40.0,2.6,5.0,0.0
59,Astapor,1,5.0,1.25,iPhone,100.0,False,0.0,6.05,4.5,0.0
62,King's Landing,0,4.5,1.06,iPhone,25.0,False,75.0,4.81,4.8,0.0
63,Astapor,3,4.8,1.03,iPhone,5.4,False,54.1,2.21,4.8,1.0
65,Winterfell,1,5.0,1.0,iPhone,0.0,False,75.0,10.37,5.0,0.0
66,Winterfell,1,5.0,1.0,iPhone,0.0,True,100.0,2.42,5.0,0.0
67,Winterfell,0,5.0,1.0,Android,0.0,False,100.0,1.8900000000000001,5.0,1.0
68,King's Landing,0,5.0,1.0,iPhone,0.0,True,0.0,4.44,5.0,1.0
69,Astapor,5,3.9,1.09,iPhone,10.5,True,63.2,2.61,4.8,1.0
70,Astapor,0,5.0,1.0,iPhone,0.0,False,100.0,4.46,5.0,0.0
71,Astapor,1,5.0,1.0,Android,0.0,False,100.0,1.02,5.0,0.0
72,Astapor,1,5.0,1.0,iPhone,0.0,False,100.0,0.0,3.0,0.0
73,Astapor,2,5.0,1.0,iPhone,0.0,False,0.0,37.11,5.0,0.0
74,King's Landing,7,5.0,1.35,iPhone,36.0,False,84.0,2.3,4.9,1.0
75,Winterfell,0,5.0,1.0,Android,0.0,False,0.0,1.45,4.0,0.0
76,Astapor,5,4.8,1.0,iPhone,0.0,False,100.0,2.47,5.0,0.0
78,Winterfell,1,5.0,1.0,iPhone,0.0,False,0.0,1.82,4.0,0.0
79,Astapor,0,5.0,1.0,Android,0.0,True,66.7,10.49,5.0,1.0
80,Astapor,0,4.0,1.5,iPhone,25.0,False,50.0,3.99,5.0,0.0
81,Winterfell,1,4.0,3.5,Android,100.0,True,100.0,17.89,4.0,0.0
82,Winterfell,1,4.0,1.11,iPhone,18.2,True,81.8,4.61,4.8,1.0
83,King's Landing,7,4.8,1.03,iPhone,5.3,False,63.2,2.6,4.7,1.0
84,Astapor,0,4.0,1.0,iPhone,0.0,True,100.0,5.01,5.0,1.0
85,Winterfell,4,5.0,1.0,iPhone,0.0,False,100.0,2.42,4.8,0.0
86,King's Landing,9,4.7,1.17,iPhone,25.0,True,66.7,3.55,4.9,0.0
87,Winterfell,6,5.0,1.0,iPhone,0.0,True,67.6,3.06,4.7,1.0
88,King's Landing,3,5.0,1.0,iPhone,0.0,False,42.9,3.3,4.8,1.0
89,Astapor,0,5.0,1.0,iPhone,0.0,True,0.0,4.67,5.0,0.0
91,Astapor,3,5.0,1.0,Android,0.0,True,50.0,10.83,5.0,1.0
92,Winterfell,7,3.7,1.0,iPhone,0.0,False,55.2,1.55,4.5,1.0
93,Winterfell,5,4.0,1.0,Android,0.0,False,80.0,1.13,4.4,0.0
94,Astapor,1,1.0,1.0,iPhone,0.0,True,0.0,23.34,4.0,0.0
